komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
keren pak anies baswedan dalam debat pertama tanpa public speaking nya bagus benar,"['keren', 'anies', 'baswedan', 'debat', 'public', 'speaking', 'nya', 'bagus']",1,positif,1,1,positif
sudah yakin dong pilih pasangan amin karena kecerdasan nya dan pantas jadi pemimpin di 2024 nanti,"['pilih', 'pasang', 'amin', 'cerdas', 'nya', 'pimpin', '2024']",2,positif,1,1,positif
dengan kecerdasan dan kepintaran pasangan amin sangat memaparkan penjelasanjangan lupa pilih amin,"['cerdas', 'pintar', 'pasang', 'amin', 'papar', 'penjelasanjangan', 'lupa', 'pilih', 'amin']",-3,negatif,-1,-1,negatif
program nya amin enggak usah diragukan lagi karena sudah menunjukan dan indonesia akan lebih baik lagi,"['program', 'nya', 'amin', 'ragu', 'tunjuk', 'indonesia']",-3,negatif,-1,1,positif
the next presiden kita nanti anies baswedan dan amin semoga jadi pemimpin yang perduli terhadap masyarakat nya amin,"['the', 'next', 'presiden', 'anies', 'baswedan', 'amin', 'moga', 'pimpin', 'duli', 'masyarakat', 'nya', 'amin']",3,positif,1,1,positif
sangat jelas amin adalah cerminan pemimpin masa depan mudahmudahan indonesia tentram dan adil jika dipimipin amin,"['amin', 'cermin', 'pimpin', 'mudahmudahan', 'indonesia', 'tentram', 'adil', 'dipimipin', 'amin']",4,positif,1,1,positif
amin adalah pasangan yang ideal sebagai capres dan cawapres kombinasi visi komitmen dan pengalaman keduanya dapat membawa perubahan positif dan kemajuan bagi negara semoga sukses dalam misi mereka untuk indonesia,"['amin', 'pasang', 'ideal', 'capres', 'cawapres', 'kombinasi', 'visi', 'komitmen', 'alam', 'bawa', 'ubah', 'positif', 'maju', 'negara', 'moga', 'sukses', 'misi', 'indonesia']",16,positif,1,1,positif
dari ketiga paslon capres dan cawapres pasangan amin 01 lah yang paling ideal untuk jadi capres dan cawapres karena saling melengkapi dan saling menyempurnakan satu sama lain,"['tiga', 'paslon', 'capres', 'cawapres', 'pasang', 'amin', '01', 'ideal', 'capres', 'cawapres', 'lengkap', 'sempurna']",6,positif,1,1,positif
dari cara pak anies menjawab yang cerdas mengindikasikan bahwa pak anies begitu memahami dan mengusai persoalannya sehingga bisa memaparkan dengan jelas amin 01 untuk indonesia maju,"['anies', 'cerdas', 'indikasi', 'anies', 'paham', 'usai', 'soal', 'papar', 'amin', '01', 'indonesia', 'maju']",-3,negatif,-1,1,positif
tampaknya hanya program kerja amin yang realistis dan dapat terwujud mengingat rekam jejak pak anies selama menjadi gubernur jakarta,"['program', 'kerja', 'amin', 'realistis', 'wujud', 'rekam', 'jejak', 'anies', 'gubernur', 'jakarta']",7,positif,1,1,positif
saya beserta keluarga besar siap mendukung dan memilih amin menjadi presiden indonesia,"['serta', 'keluarga', 'dukung', 'pilih', 'amin', 'presiden', 'indonesia']",8,positif,1,1,positif
mantap pak anies keluarga besar saya siap untuk pilih pasangan amin untuk 1 putaran,"['mantap', 'anies', 'keluarga', 'pilih', 'pasang', 'amin', '1', 'putar']",8,positif,1,1,positif
pasangan amin capres dan cawapres yang paling pas dan melengkapi,"['pasang', 'amin', 'capres', 'cawapres', 'pas', 'lengkap']",6,positif,1,1,positif
pak anies sangat pas dan ideal sekali jadi pemimpin indonesia baik dari segi fisik beliau yang sangat fix dan kecerdasan beliau,"['anies', 'pas', 'ideal', 'pimpin', 'indonesia', 'segi', 'fisik', 'beliau', 'fix', 'cerdas', 'beliau']",2,positif,1,1,positif
pak anies baswedan adalah pemimpin yang amanah rendah hati selalu mementingkan rakyat,"['anies', 'baswedan', 'pimpin', 'amanah', 'rendah', 'hati', 'penting', 'rakyat']",-1,negatif,-1,1,positif
bismillah mudahmudahan an pasangan amin menang dan jadi pemimpin di 2024 nanti amin,"['bismillah', 'mudahmudahan', 'an', 'pasang', 'amin', 'menang', 'pimpin', '2024', 'amin']",7,positif,1,1,positif
saya dan keluarga besar kami akan selalu mendukung pasangan amin karna kami butuh sosok pemimpin seperti pasangan amin,"['keluarga', 'dukung', 'pasang', 'amin', 'karna', 'butuh', 'sosok', 'pimpin', 'pasang', 'amin']",8,positif,1,1,positif
bismillah saya dan keluarga besar saya siap dukung pasangan aminsemoga lancar,"['bismillah', 'keluarga', 'dukung', 'pasang', 'aminsemoga', 'lancar']",15,positif,1,1,positif
ini adalah keputusan yang bijak dan penuh kesadaran dari keluarga besar kami siap untuk memilik dan mendukung pasangan pak anies dan pak amin sebagai calon presiden menujukkan kepercayaan yang tinggi terhadap integritas komitmen dan viis misi mereka,"['putus', 'bijak', 'penuh', 'sadar', 'keluarga', 'milik', 'dukung', 'pasang', 'anies', 'amin', 'calon', 'presiden', 'menujukkan', 'percaya', 'integritas', 'komitmen', 'viis', 'misi']",13,positif,1,1,positif
pasangan pak anies dan pak amin sebagai calon presiden dan calon wakil presiden adalah kombinasi yang sangat melengkapi satu sama lain terlihat sinergi yang kuat antara kebijaksanaan dan keenergianan visi progresif dan kepedulian terhadap kebutuhan masyarakat,"['pasang', 'anies', 'amin', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'kombinasi', 'lengkap', 'sinergi', 'kuat', 'bijaksana', 'keenergianan', 'visi', 'progresif', 'peduli', 'butuh', 'masyarakat']",5,positif,1,1,positif
anies baswedan memiliki penampilan yang memukau dan penuh kekar kecerdasannya yang tercermin dalam wajahnya menambah pesona kepemimpinannya sebagai gubernur jakarta,"['anies', 'baswedan', 'milik', 'tampil', 'pukau', 'penuh', 'kekar', 'cerdas', 'cermin', 'wajah', 'tambah', 'pesona', 'pimpin', 'gubernur', 'jakarta']",9,positif,1,1,positif
sering lihat jejak rekam nya pak anies baswedan ketika jadi gubernurmasyaa allah luar biasa banget banyak perubahan bagaimana nanti kalo jadi presiden ya pasti lebih baik,"['lihat', 'jejak', 'rekam', 'nya', 'anies', 'baswedan', 'gubernurmasyaa', 'allah', 'banget', 'ubah', 'kalo', 'presiden', 'ya']",15,positif,1,1,positif
saya dan keluarga besar kami siap mendukung pasangan amin sampai jadi presiden semoga allah mempermudahkan amin,"['keluarga', 'dukung', 'pasang', 'amin', 'presiden', 'moga', 'allah', 'mudah', 'amin']",21,positif,1,1,positif
saya dan keluarga besar kami siap mendukung pasangan amin sampai jadi presiden,"['keluarga', 'dukung', 'pasang', 'amin', 'presiden']",12,positif,1,1,positif
amin adalah pasangan capres dan cawapres yang saling melengkapi sepenuh nya saya mendukung sampai jadi presiden 2024 amin,"['amin', 'pasang', 'capres', 'cawapres', 'lengkap', 'sepenuh', 'nya', 'dukung', 'presiden', '2024', 'amin']",10,positif,1,1,positif
jejak rekam nya pak anies ketika jadi gubernur di jakarta masya allah banyak perubahan nya dan satu lagi pak anis perduli terhadap masyarakat nya,"['jejak', 'rekam', 'nya', 'anies', 'gubernur', 'jakarta', 'masya', 'allah', 'ubah', 'nya', 'anis', 'duli', 'masyarakat', 'nya']",5,positif,1,1,positif
yakin memilih amin langkah yang positif untuk membawa perubahan dan kemajuan semoga pilihan ini memberikan dampak positif bagi kita semua,"['pilih', 'amin', 'langkah', 'positif', 'bawa', 'ubah', 'maju', 'moga', 'pilih', 'dampak', 'positif']",4,positif,1,1,positif
untuk saat ini saya belum menentukan pilihanmengapa mereka saling serang untuk meningkatkan value pribadi mereka padahal yang saya butuhkan sebagai calon pemilih adalah bagaimana pendekatan mereka pada masyarakat bagaimana visi dan misi mereka mempunyai manfaat yang langsung dirasakan masyarakat dan kebijakan mereka nantinya membuat indonesia maju dan memakmurkan warga negara indonesia bukan oknum pejabat pemerintah apalagi asing,"['tentu', 'pilihanmengapa', 'serang', 'tingkat', 'value', 'pribadi', 'butuh', 'calon', 'pilih', 'dekat', 'masyarakat', 'visi', 'misi', 'manfaat', 'langsung', 'rasa', 'masyarakat', 'bijak', 'indonesia', 'maju', 'makmur', 'warga', 'negara', 'indonesia', 'oknum', 'jabat', 'perintah', 'asing']",-8,negatif,-1,1,positif
salut dengan anies bisa menjadj pemimpin jakarta yang jujur dan mensejhtrkan rkyat,"['salut', 'anies', 'menjadj', 'pimpin', 'jakarta', 'jujur', 'mensejhtrkan', 'rkyat']",3,positif,1,1,positif
anies terlihat sangat siap menjadi presiden apalagi saat memimpin jakarta ssngat baik sekali,"['anies', 'presiden', 'pimpin', 'jakarta', 'ssngat']",3,positif,1,1,positif
anies baswedan dan cak imin telah menunjukkan kinerja dan prestasi yang baik dalam jabatan atau tanggung jawab sebelumnya,"['anies', 'baswedan', 'cak', 'imin', 'kerja', 'prestasi', 'jabat', 'tanggung']",-3,negatif,-1,1,positif
pada umumnya anies baswedan dan cak imin dikenal sebagai individu yang memiliki kecerdasan dan keahlian dalam memaparkan penjelasan terkait berbagai isu keduanya memiliki latar belakang dan pengalaman yang berbeda namun mampu mengungkapkan ide dan gagasan mereka dengan jelas meskipun mungkin terdapat perbedaan pandangan namun kemampuan mereka dalam menyampaikan argumentasi dan penjelasan yang konkret patut diapresiasi kepintaran mereka dalam berbicara menjadi salah satu faktor yang membuat mereka mampu menjadi pemimpin dan tokoh publik yang diperhitungkan dalam dunia politik dan masyarakat,"['anies', 'baswedan', 'cak', 'imin', 'kenal', 'individu', 'milik', 'cerdas', 'ahli', 'papar', 'jelas', 'kait', 'isu', 'milik', 'latar', 'alam', 'beda', 'ide', 'gagas', 'beda', 'pandang', 'mampu', 'argumentasi', 'jelas', 'konkret', 'patut', 'apresiasi', 'pintar', 'bicara', 'salah', 'faktor', 'pimpin', 'tokoh', 'publik', 'hitung', 'dunia', 'politik', 'masyarakat']",-17,negatif,-1,1,positif
siapapun calon presiden dan wakil presidennya kami tetap all ini amin,"['calon', 'presiden', 'wakil', 'presiden', 'all', 'amin']",6,positif,1,1,positif
anak muda yang memilih anies mungkin melihat kinerja dan program kerjanya sebagai gubernur dki jakarta yang memberikan dampak positif mereka bisa percaya bahwa visi dan misinya sejalan dengan kebutuhan dan harapan generasi muda,"['anak', 'muda', 'pilih', 'anies', 'kerja', 'program', 'kerja', 'gubernur', 'dki', 'jakarta', 'dampak', 'positif', 'percaya', 'visi', 'misi', 'jalan', 'butuh', 'harap', 'generasi', 'muda']",-8,negatif,-1,1,positif
program kerja anies yang fokus pada penanganan banjir dan pembenahan lingkungan kota adalah langkah positif ini mencerminkan kesadaran akan isuisu lingkungan yang semakin mendesak untuk diatasi demi keberlanjutan perkotaan,"['program', 'kerja', 'anies', 'fokus', 'tangan', 'banjir', 'benah', 'lingkung', 'kota', 'langkah', 'positif', 'cermin', 'sadar', 'isuisu', 'lingkung', 'desak', 'atas', 'lanjut', 'kota']",4,positif,1,1,positif
orang nya kalem penuh tata krama terhadap rakyat kecil sangat menghormati itu lah kenapa aku pilih pak anies,"['orang', 'nya', 'kalem', 'penuh', 'tata', 'krama', 'rakyat', 'hormat', 'pilih', 'anies']",1,positif,1,1,positif
pasangan no 1 amin dan pasangan nya adalah kandidat yang berpotensi untuk jadi pemenang di pilpres februari mendatang mereka sangat kompak dan saling melengkapi satu sama lain membuat semakin solid dalam pemilu 2024,"['pasang', 'no', '1', 'amin', 'pasang', 'nya', 'kandidat', 'potensi', 'menang', 'pilpres', 'februari', 'kompak', 'lengkap', 'solid', 'milu', '2024']",9,positif,1,1,positif
pasangan amin memiliki tempat yang istimewa di hati rakyat ditandai dengan dukungan yang kuat dari berbagai lapisan masyarakat semoga kebersamaan ini memberikan hasil yang positif dan kesejahteraan bagi semua,"['pasang', 'amin', 'milik', 'istimewa', 'hati', 'rakyat', 'tanda', 'dukung', 'kuat', 'lapis', 'masyarakat', 'moga', 'sama', 'hasil', 'positif', 'sejahtera']",17,positif,1,1,positif
pasangan anies dan cak imin mendapat dukungan setia dari banyak kalangan masyarakat melihat keduanya sebagai pemimpin yang peduli dan berkomitmen untuk memajukan kesejahteraan masyarakat kehadiran mereka dihati rakyat tercermin dalam dukungan yang kuat dari berbagai lapisan masyarakat,"['pasang', 'anies', 'cak', 'imin', 'dukung', 'setia', 'kalang', 'masyarakat', 'pimpin', 'peduli', 'komitmen', 'maju', 'sejahtera', 'masyarakat', 'hadir', 'hati', 'rakyat', 'cermin', 'dukung', 'kuat', 'lapis', 'masyarakat']",12,positif,1,1,positif
kami sepakat kalau pak anies baswedan dan cak imin the next presiden dan wakil presiden,"['sepakat', 'anies', 'baswedan', 'cak', 'imin', 'the', 'next', 'presiden', 'wakil', 'presiden']",8,positif,1,1,positif
amin sudah sepatutnya dan wajar sekali menjadi presiden dan wakil presiden 2024 karena cerdas jelas dan lebih siap program kerja visi dan misinya,"['amin', 'patut', 'wajar', 'presiden', 'wakil', 'presiden', '2024', 'cerdas', 'program', 'kerja', 'visi', 'misi']",5,positif,1,1,positif
pandangan mengenai pak anies dan cak imin sebagai cerminan pemimpin masa depan bervariasi ada yang mengapresiasi dedikasi mereka dalam membangun infrastruktur dan meningkatkan kesejahteraan sementara yang lain mempertanyakan cara menangani kritik dan efektivitas kebijakan penilaian terhadap visi keberanian dan kemampuan mendengarkan aspirasi rakyat dapat membentuk pandangan masyarakat terhadap peran mereka dalam kemajuan bangsa,"['pandang', 'anies', 'cak', 'imin', 'cermin', 'pimpin', 'variasi', 'apresiasi', 'dedikasi', 'bangun', 'infrastruktur', 'tingkat', 'sejahtera', 'tangan', 'kritik', 'efektivitas', 'bijak', 'nilai', 'visi', 'berani', 'mampu', 'dengar', 'aspirasi', 'rakyat', 'bentuk', 'pandang', 'masyarakat', 'peran', 'maju', 'bangsa']",12,positif,1,1,positif
tuhan yang maha pengasih br brkami mohon berkah untuk anies dan cak imin semoga engkau memberikan kebijaksanaan kebahagiaan dan ketenangan dalam hubungan mereka lindungilah ikatan cinta mereka berikan kekuatan dalam menghadapi setiap perjalanan hidup semoga tuhan memberkati langkah mereka bersama dalam kasih sayang dan kesuksesan amin,"['tuhan', 'maha', 'asih', 'br', 'brkami', 'mohon', 'berkah', 'anies', 'cak', 'imin', 'moga', 'engkau', 'bijaksana', 'bahagia', 'tenang', 'hubung', 'lindung', 'ikat', 'cinta', 'kuat', 'hadap', 'jalan', 'hidup', 'moga', 'tuhan', 'kati', 'langkah', 'kasih', 'sayang', 'sukses', 'amin']",23,positif,1,1,positif
sebagai keluarga besar dan warga jakarta insya allah tetap mendukung amin karena pak anies sudah jelas rekam jejaknya pada saat menjabat gubernur dki jakarta,"['keluarga', 'warga', 'jakarta', 'insya', 'allah', 'dukung', 'amin', 'anies', 'rekam', 'jejak', 'jabat', 'gubernur', 'dki', 'jakarta']",6,positif,1,1,positif
amin itu pasangan yang ideal banget jadi capres cawapres mereka saling melengkapi dan punya visi yang bagus buat indonesia yakin deh bisa bawa perubahan positif,"['amin', 'pasang', 'ideal', 'banget', 'capres', 'cawapres', 'lengkap', 'visi', 'bagus', 'indonesia', 'deh', 'bawa', 'ubah', 'positif']",9,positif,1,1,positif
yakin pilih amin karena mereka punya visi yang jelas dan solusi yang tepat sukses terus,"['pilih', 'amin', 'visi', 'solusi', 'sukses']",6,positif,1,1,positif
pilih yang pasti demi perubahan positif indonesia bersama pak anies siap all ini amin di pilpres 2024,"['pilih', 'ubah', 'positif', 'indonesia', 'anies', 'all', 'amin', 'pilpres', '2024']",2,positif,1,1,positif
jika pelaksana pemilu tidak melaksanakan tugasnya dengan baik serta memihak pada paslon tertentu maka sesungguhnya mereka ini adalah para penghianat bangsa yang dosanya tak terampuni kecuali mereka bertobat dan memohon maaf kepada seluruh rakyat insonesia,"['laksana', 'milu', 'laksana', 'tugas', 'paslon', 'sungguh', 'penghianat', 'bangsa', 'dosa', 'ampun', 'kecuali', 'tobat', 'mohon', 'maaf', 'rakyat', 'insonesia']",-7,negatif,-1,-1,negatif
anak muda pilih amin karena melihat harapan untuk perubahan yang positif yakin amin bisa jadi pemimpin yang mengerti dan mewakili aspirasi kita sukses terus amin,"['anak', 'muda', 'pilih', 'amin', 'harap', 'ubah', 'positif', 'amin', 'pimpin', 'erti', 'wakil', 'aspirasi', 'sukses', 'amin']",0,netral,0,1,positif
program kerja amin luar biasa dan layak diacungi jempol mereka punya rencana yang nyata dan bermanfaat untuk masyarakat ideide mereka sesuai dengan kebutuhan kita sukses terus amin,"['program', 'kerja', 'amin', 'layak', 'acung', 'jempol', 'rencana', 'nyata', 'manfaat', 'masyarakat', 'ideide', 'sesuai', 'butuh', 'sukses', 'amin']",10,positif,1,1,positif
semoga pemilu kali ini berlangsung dengan damai dan hal itu akan terjadi jika pelaksana pemilu kpu panwaslu melaksanakan tugasnya dengan sebaikbaiknya secara profesional serta tidak memihak,"['moga', 'milu', 'kali', 'damai', 'laksana', 'milu', 'kpu', 'panwaslu', 'laksana', 'tugas', 'sebaikbaiknya', 'profesional']",0,netral,0,1,positif
setelah menonton debat ini hanya pak anies saja yang mampu memaparkan penjelasan yang mudah di mengerti dan di cerna pak anies memang mantab,"['tonton', 'debat', 'anies', 'papar', 'jelas', 'mudah', 'erti', 'cerna', 'anies', 'mantab']",-8,negatif,-1,-1,negatif
tidak ada keraguan sedikitpun untuk memilih amin 100 yakin pilih pak anies sebagai presiden indonesia,"['ragu', 'sedikit', 'pilih', 'amin', '100', 'pilih', 'anies', 'presiden', 'indonesia']",-8,negatif,-1,-1,negatif
para anak milineal generasi saja dan anakanak muda indonesia pasti dengan senang hati memilih pak anies untuk jadi presiden nanti,"['anak', 'milineal', 'generasi', 'anakanak', 'muda', 'indonesia', 'senang', 'hati', 'pilih', 'anies', 'presiden']",-6,negatif,-1,-1,negatif
program kerja pasangan amin ini pasti akan sangat di dukung rakyat indonesia karena sesuai dengan visi dan misi mereka yaitu perubahan indonesia,"['program', 'kerja', 'pasang', 'amin', 'dukung', 'rakyat', 'indonesia', 'sesuai', 'visi', 'misi', 'ubah', 'indonesia']",15,positif,1,1,positif
hasil debat yang postif untuk pasangan amin ini pasti banyak rakyat yang dengan senang hati memilih amin untuk menjadi presiden dan wakil presiden nanti amin di hati rakyat indonesia,"['hasil', 'debat', 'postif', 'pasang', 'amin', 'rakyat', 'senang', 'hati', 'pilih', 'amin', 'presiden', 'wakil', 'presiden', 'amin', 'hati', 'rakyat', 'indonesia']",15,positif,1,1,positif
seluruh rakyat indonesia pasti sangat yakin untuk memilih amin sebagai next presiden dan wakil presiden republik indonesia nanti,"['rakyat', 'indonesia', 'pilih', 'amin', 'next', 'presiden', 'wakil', 'presiden', 'republik', 'indonesia']",2,positif,1,1,positif
semoga pasangan amin bisa terpilih di pemilu nanti dan bisa membawa perubahan untuk negeri kita tercinta kita ini amin,"['moga', 'pasang', 'amin', 'pilih', 'milu', 'bawa', 'ubah', 'negeri', 'cinta', 'amin']",3,positif,1,1,positif
sudah menjadi keputusan bersama bahwa seluruh keluarga besar siap memilih pak anies untuk menjadi presiden di 2024 nanti hidup pak anies,"['putus', 'keluarga', 'pilih', 'anies', 'presiden', '2024', 'hidup', 'anies']",-2,negatif,-1,1,positif
pasangan amin memiliki tempat istimewa di hati rakyat dukungan yang diberikan mencerminkan keyakinan akan kemampuan dan komitmen mereka untuk mewakili kepentingan masyarakat semoga perjalanan mereka dihati rakyat membawa kesuksesan untuk indonesia,"['pasang', 'amin', 'milik', 'istimewa', 'hati', 'rakyat', 'dukung', 'cermin', 'yakin', 'mampu', 'komitmen', 'wakil', 'penting', 'masyarakat', 'moga', 'jalan', 'hati', 'rakyat', 'bawa', 'sukses', 'indonesia']",14,positif,1,1,positif
pasangan amin adalah harapan sebagai presiden selanjutnya mereka menunjukkan potensi dan visi yang kuat untuk membawa perubahan positif bagi indonesia dukungan penuh untuk amin sebagai calon presiden berikutnya,"['pasang', 'amin', 'harap', 'presiden', 'potensi', 'visi', 'kuat', 'bawa', 'ubah', 'positif', 'indonesia', 'dukung', 'penuh', 'amin', 'calon', 'presiden']",20,positif,1,1,positif
menurut saya amin adalah cerminan pemimpin masa depan yang membumi dan berintegritas saya yakin sebagai pemimpin mereka akan memberikan kontribusi besar untuk kemajuan indonesia,"['amin', 'cermin', 'pimpin', 'bumi', 'integritas', 'pimpin', 'kontribusi', 'maju', 'indonesia']",3,positif,1,1,positif
semoga pasangan amin selalu diberikan keberkahan dan kekuatan dalam setiap langkah perjuangannya doa terbaik agar visi dan misi mereka untuk indonesia dapat terwujud dengan sukses amin,"['moga', 'pasang', 'amin', 'berkah', 'kuat', 'langkah', 'juang', 'doa', 'baik', 'visi', 'misi', 'indonesia', 'wujud', 'sukses', 'amin']",21,positif,1,1,positif
pasangan amin itu pasangan yang serasi banget mereka saling melengkapi sebagai capres dan cawapres dengan kemampuan dan ide yang cocok saya yakin mereka bisa bikin perubahan bagus buat indonesia keren abis,"['pasang', 'amin', 'pasang', 'serasi', 'banget', 'lengkap', 'capres', 'cawapres', 'mampu', 'ide', 'cocok', 'bikin', 'ubah', 'bagus', 'indonesia', 'keren', 'abis']",4,positif,1,1,positif
pasangan amin punya ide bagus untuk masa depan mereka ingin bawa kemajuan dan kebahagiaan untuk kita semua saya dukung mereka sepenuhnya,"['pasang', 'amin', 'ide', 'bagus', 'bawa', 'maju', 'bahagia', 'dukung', 'sepenuh']",7,positif,1,1,positif
pak anies punya kepemilikan keren waktu jadi gubernur jakarta gaya berpakaiannya selalu profesional dan memberi kesan positif top deh,"['anies', 'milik', 'keren', 'gubernur', 'jakarta', 'gaya', 'pakai', 'profesional', 'kesan', 'positif', 'top', 'deh']",10,positif,1,1,positif
kpu di isi orang baik pasti amanah dan insyllah bpk anis b menang satu putaran,"['kpu', 'isi', 'orang', 'amanah', 'insyllah', 'bpk', 'anis', 'b', 'menang', 'putar']",1,positif,1,1,positif
anies baswedan memancarkan karisma dan penampilan yang memukau selama menjabat sebagai gubernur jakarta ketenangan dan kepercayaan dirinya menciptakan atmosfer positif penampilan yang memikat ini memberikan daya tarik tambahan pada kepemimpinannya,"['anies', 'baswedan', 'pancar', 'karisma', 'tampil', 'pukau', 'jabat', 'gubernur', 'jakarta', 'tenang', 'percaya', 'cipta', 'atmosfer', 'positif', 'tampil', 'mikat', 'daya', 'tarik', 'tambah', 'pimpin']",11,positif,1,1,positif
program kerja amin sangat memukau rencananya terfokus dan sepertinya akan memberikan dampak positif yang besar semoga sukses dalam implementasinya,"['program', 'kerja', 'amin', 'pukau', 'rencana', 'fokus', 'dampak', 'positif', 'moga', 'sukses', 'implementasi']",3,positif,1,1,positif
amin luar biasa dalam menjelaskan kecerdasan mereka memberikan pencerahan yang kuat semoga terus membawa penjelasan yang menginspirasi dan membawa perubahan positif,"['amin', 'cerdas', 'cerah', 'kuat', 'moga', 'bawa', 'jelas', 'inspirasi', 'bawa', 'ubah', 'positif']",-5,negatif,-1,1,positif
nah kalo lihat visi misi dari paslon norut nomer satu memang mantap dan jelas rasional mudahmudahan semoga insya allah dialah yang menjadi bpk presiden ri2024 one round persen,"['kalo', 'lihat', 'visi', 'misi', 'paslon', 'norut', 'nomer', 'mantap', 'rasional', 'mudahmudahan', 'moga', 'insya', 'allah', 'bpk', 'presiden', 'ri2024', 'one', 'round', 'persen']",21,positif,1,1,positif
pak anies the next presiden indonesia 2024 maju terus amin,"['anies', 'the', 'next', 'presiden', 'indonesia', '2024', 'maju', 'amin']",1,positif,1,1,positif
pada dibayar berapa sih buzzer nya anis awowkwk mengakak mana banyak banget,"['bayar', 'sih', 'buzzer', 'nya', 'anis', 'awowkwk', 'akak', 'banget']",-1,negatif,-1,-1,negatif
