,stem_review,polarity_score,sentiment
52,pasang amin capres cawapres pas lengkap,6,positif
53,program kerja pasang amin bagus rekam jejak bagus,1,positif
54,anies pas ideal pimpin indonesia segi fisik beliau fix cerdas beliau,2,positif
55,anies baswedan pimpin amanah rendah hati penting rakyat,-1,negatif
56,bismillah mudahmudahan an pasang amin menang pimpin amin,7,positif
57,jawa barat hadir dukung mu amin,3,positif
58,keluarga dukung pasang amin karna butuh sosok pimpin pasang amin,8,positif
59,bismillah keluarga dukung pasang aminsemoga lancar,15,positif
60,program kerja amin rasional depan penting rakyat bagus penting bangsa,-2,negatif
61,sempurna pasang amin pasang capres melengkapidengan cerdas nya masingmasing,8,positif
62,anak muda pilih amin visi misi penting generasi muda,-11,negatif
63,putus bijak penuh sadar keluarga milik dukung pasang anies amin calon presiden menujukkan percaya integritas komitmen viis misi,13,positif
64,pasang anies amin calon presiden calon wakil presiden kombinasi lengkap sinergi kuat bijaksana keenergianan visi progresif peduli butuh masyarakat,5,positif
65,anies baswedan milik tampil pukau penuh kekar cerdas cermin wajah tambah pesona pimpin gubernur jakarta,9,positif
66,lihat jejak rekam nya anies baswedan gubernurmasyaa allah banget ubah kalo presiden ya,15,positif
67,bismillah jawa barat dukung pasang amin,12,positif
68,keluarga dukung pasang amin presiden moga allah mudah amin,21,positif
69,keluarga dukung pasang amin presiden,12,positif
70,amin pasang capres cawapres lengkap sepenuh nya dukung presiden amin,10,positif
71,segenap keluarga sedia dukung amin cipta nya sejahtera rata,6,positif
72,amin baik pasang amin cerdas hati masyarakat nya,6,positif
73,jejak rekam nya anies gubernur jakarta masya allah ubah nya anis duli masyarakat nya,5,positif
74,pilih amin langkah positif bawa ubah maju moga pilih dampak positif,4,positif
75,tentu pilihanmengapa serang tingkat value pribadi butuh calon pilih dekat masyarakat visi misi manfaat langsung rasa masyarakat bijak indonesia maju makmur warga negara indonesia oknum jabat perintah asing,-8,negatif
76,salut anies menjadj pimpin jakarta jujur mensejhtrkan rkyat,3,positif
77,anies presiden pimpin jakarta ssngat,3,positif
78,anies baswedan cak imin kerja prestasi jabat tanggung,-3,negatif
79,anies baswedan cak imin kenal individu milik cerdas ahli papar jelas kait isu milik latar alam beda ide gagas beda pandang mampu argumentasi jelas konkret patut apresiasi pintar bicara salah faktor pimpin tokoh publik hitung dunia politik masyarakat,-17,negatif
80,calon presiden wakil presiden all amin,6,positif
81,anak muda pilih anies kerja program kerja gubernur dki jakarta dampak positif percaya visi misi jalan butuh harap generasi muda,-8,negatif
82,program kerja anies fokus tangan banjir benah lingkung kota langkah positif cermin sadar isuisu lingkung desak atas lanjut kota,4,positif
83,orang nya kalem penuh tata krama rakyat hormat pilih anies,1,positif
84,pasang no amin pasang nya kandidat potensi menang pilpres februari kompak lengkap solid milu,9,positif
85,pasang amin milik istimewa hati rakyat tanda dukung kuat lapis masyarakat moga sama hasil positif sejahtera,17,positif
86,pasang anies cak imin dukung setia kalang masyarakat pimpin peduli komitmen maju sejahtera masyarakat hadir hati rakyat cermin dukung kuat lapis masyarakat,12,positif
87,sepakat anies baswedan cak imin the next presiden wakil presiden,8,positif
88,amin patut wajar presiden wakil presiden cerdas program kerja visi misi,5,positif
89,pandang anies cak imin cermin pimpin variasi apresiasi dedikasi bangun infrastruktur tingkat sejahtera tangan kritik efektivitas bijak nilai visi berani mampu dengar aspirasi rakyat bentuk pandang masyarakat peran maju bangsa,12,positif
90,tuhan maha asih br brkami mohon berkah anies cak imin moga engkau bijaksana bahagia tenang hubung lindung ikat cinta kuat hadap jalan hidup moga tuhan kati langkah kasih sayang sukses amin,23,positif
91,keluarga warga jakarta insya allah dukung amin anies rekam jejak jabat gubernur dki jakarta,6,positif
92,indonesia butuhbrpemimpin negara yangbrarif bijaksanabrbrselesai,0,netral
93,amin pasang ideal banget capres cawapres lengkap visi bagus indonesia deh bawa ubah positif,9,positif
94,pilih amin visi solusi sukses,6,positif
95,pasang amin cerdas muka gagas jelas mudah paham orang sungguh keren,8,positif
96,pilih ubah positif indonesia anies all amin pilpres,2,positif
97,laksana milu laksana tugas paslon sungguh penghianat bangsa dosa ampun kecuali tobat mohon maaf rakyat insonesia,-7,negatif
98,anak muda pilih amin harap ubah positif amin pimpin erti wakil aspirasi sukses amin,0,netral
99,program kerja amin layak acung jempol rencana nyata manfaat masyarakat ideide sesuai butuh sukses amin,10,positif
100,moga milu kali damai laksana milu kpu panwaslu laksana tugas sebaikbaiknya profesional,0,netral
101,tonton debat anies papar jelas mudah erti cerna anies mantab,-8,negatif
102,ragu sedikit pilih amin pilih anies presiden indonesia,-8,negatif
103,ragu sedikit hati all for amin,-7,negatif
104,anak milineal generasi anakanak muda indonesia senang hati pilih anies presiden,-6,negatif
105,program kerja pasang amin dukung rakyat indonesia sesuai visi misi ubah indonesia,15,positif
106,hasil debat postif pasang amin rakyat senang hati pilih amin presiden wakil presiden amin hati rakyat indonesia,15,positif
107,rakyat indonesia pilih amin next presiden wakil presiden republik indonesia,2,positif
108,debat pasang amin cermin pimpin cocok indonesia,11,positif
109,moga pasang amin pilih milu bawa ubah negeri cinta amin,3,positif
110,putus keluarga pilih anies presiden hidup anies,-2,negatif
111,pasang amin milik istimewa hati rakyat dukung cermin yakin mampu komitmen wakil penting masyarakat moga jalan hati rakyat bawa sukses indonesia,14,positif
112,pasang amin harap presiden potensi visi kuat bawa ubah positif indonesia dukung penuh amin calon presiden,20,positif
113,amin cermin pimpin bumi integritas pimpin kontribusi maju indonesia,3,positif
114,moga pasang amin berkah kuat langkah juang doa baik visi misi indonesia wujud sukses amin,21,positif
115,jateng all dukung pasang amin pilpres optimis pilih baik indonesia,8,positif
116,keluarga pilih pasang amin baik indonesia semangat,8,positif
117,keluarga dukung pasang amin dukung penuh bawa ubah positif indonesia moga sukses,19,positif
118,pasang amin pasang serasi banget lengkap capres cawapres mampu ide cocok bikin ubah bagus indonesia keren abis,4,positif
119,pasang amin ide bagus bawa maju bahagia dukung sepenuh,7,positif
120,ya moga visi misi tulis visi misi laksana tuju jalan,8,positif
121,anies milik keren gubernur jakarta gaya pakai profesional kesan positif top deh,10,positif
122,masyarakat ragu kpu ayo semngt tunjuk baik a href amanah a href prubhan,8,positif
123,kpu isi orang orang amanah insyllah bpk anis b menang putarana href,1,positif
124,anies baswedan pancar karisma tampil pukau jabat gubernur jakarta tenang percaya cipta atmosfer positif tampil mikat daya tarik tambah pimpin,11,positif
125,program kerja amin pukau rencana fokus dampak positif moga sukses implementasi,3,positif
126,amin cerdas cerah kuat moga bawa jelas inspirasi bawa ubah positif,-5,negatif
127,kalo lihat visi misi paslon norut nomer mantap rasional mudahmudahan moga insya allah bpk presiden ri one round persen,21,positif
128,proker pasang amin bagus proker bawa pasang amin maju negara,4,positif
129,amin hati rakyat indonesia debat pilih amin,1,positif
130,anies the next presiden indonesia maju amin,1,positif
131,amin sosok pimpin negara,0,netral
132,bayar sih buzzer nya anis awowkwk akak banget,-1,negatif
133,a href lanjut,-3,negatif
134,a href,0,netral
135,gagas program visi misi amin bagus pasang lengkap mari dukung amin indonesia maju,10,positif
136,info nama lagu a href a href,-1,negatif
137,demak hadir menang pasang calon presiden calon wakil presiden amin,8,positif
138,visi misi keluarga pilih pasang anies cak imin,5,positif
139,prestasi dedikasi anies baswedan gubernur jakarta bangga beliau pimpin kuat komitmen maju sejahtera warga jakarta keputusankeputusan strategis bangun infrastruktur tingkat kualitas didik dampak positif nyata masyarakat semangat keras maju jakarta inspiratif harap hasil lanjut,13,positif
140,sabar tunggu debat seru keluarga pilih amin ri,6,positif
141,keluarga pilih anies,-1,negatif
142,all amin,0,netral
143,ya allah moga kpu jujur adil transparan,17,positif
144,anies orang cerdas bijaksana moga pilih ya anies ubah indonesia,0,netral
145,calon presiden mantap bahas oknum ting perhati brkarna masyarakat moga paham maksus,11,positif
146,anies baswedan ri aamiin,2,positif
147,mohon maaf aniesbrsaya tuju angin bawa polusi pergi provinsi jawa kota polusi ya tau ya,-11,negatif
148,moga amin presiden amanah sosok pimpin jaya,13,positif
149,keluarga tekad pilih paslon amin,0,netral
150,anak muda pilih amin amin tari visi progresif ubah positif,0,netral
151,anies aniesbr,0,netral
152,pimpin lengkap satu cerdas kalem satu pintar homuris maju amin,5,positif
153,anies pimpin idam idam cerdas intelek agam semangat anies,10,positif
154,moment prabowo ganjar jabat tangan prabowo anies prabowo siaptertekanbrbrsementara ganjar anies peluk hangat n cipika cipiki capres ganjar anies kuasa panggung debat kali ganjar oke jujur anies dominan unggul prabowo sensitifemosional,16,positif
155,anies pemimpinbr prabowo komentatorbr ganjar motivator,2,positif
156,fungsi panelis nya ngundi doang ya gali,4,positif
157,kpu usul debat calon pressiden wakil presiden bahasa internasional inggris sebrapa pintar o malu,-1,negatif
158,anis baswedan sungguh pandai papar maksud tuju visi misi,3,positif
159,anis baswedan sungguh mantap moga anis baswedan laksana menjalankanvisi misi,9,positif
160,dukung kuat pasang amin calon presiden aspirasi ubah harap,10,positif
161,gaya tampil anis baswedan beda jabat gubernur jakarta,-7,negatif
162,quotall amin langkah berani komprehensif satu aspek maju moga program hasil wujud ubah positif nyata baik,17,positif
163,keren anak muda pilih amin sadar ubah positif pimpin inklusif moga generasi muda libat aktif bangun amin,-8,negatif
164,keluarga dukung pilih pasang amin,7,positif
165,debat pasang anies cak imin pintar papar jelas cerdas wibawa,2,positif
166,amin pasang lengkap ideal bangsa,6,positif
167,dengar program kerja amin pilih amin,2,positif
168,gileeee pintar banget amin jelas kayak lawan,-7,negatif
169,all amin pokok titik,-3,negatif
170,anak muda pilih amin janji,-7,negatif
171,prigram kerja amin amp rasional mantap,7,positif
172,pasang amin hati rakyat,4,positif
173,amin presiden titik,0,netral
174,moga amin kuat wujud hatapan rakyat amin,2,positif
175,karawang nih boss amin,0,netral
176,demen banget amin keluarga dukung amin,6,positif
177,anies cerdas gus imin pinter ah lengkap,3,positif
178,prabowo panas wkwk lihat amin murah senyum tenang lugas cerdas,14,positif
179,amin pasang ideal,7,positif
180,amin pintar papar jelas,-5,negatif
181,pilih amin,-2,negatif
182,the next presiden amin,1,positif
183,program kerja nyataa amin,2,positif
184,amin hati rakyat,0,netral
185,sukses amin,3,positif
186,amin cermin pimpin,3,positif
187,semarang dukung amin,4,positif
188,keluarga pilih amin,-1,negatif
189,anak muda pilih amin,-7,negatif
190,all amin,0,netral
191,anies cak imin hati rakyat indonesia,0,netral
192,amin pasang ideal pimpin negara milik visi alam luas dedikasi maju negara debat perdana capres cawapres pimpin kokoh ahli tantang komitmen wujud ubah positif rakyat moga amin bawa maju indonesia,18,positif
193,prabowo kaya cocok lawak,1,positif
194,segenap keluarga dukung pilih amin presiden wapres,8,positif
195,kpu adil,1,positif
196,orangorang indonesia menilaicuman bikin heran pilih wowo ganjar,1,positif
197,pasang amin sosok pasang ideal capres cawapres beliau lengkap positif,14,positif
198,keluarga dukung amin presiden menang putar,7,positif
199,wakil daerah surabaya dukung penuh pasang amin pimpin,8,positif
200,moga pasang amin pimpin negeri amin,5,positif
201,pasang amin cermin pimpin indonesia,7,positif
202,pasang amin the next presiden menang putar amin,4,positif
203,program kerja amin bagus masyarakat utama,0,netral
204,golong muda dukung amin beliau sosok inspiratif,2,positif
205,all amin rakyat indonesia pasang pimpin,4,positif
206,yakin pilih amin sebaga pimpin bawa ubah,-1,negatif
207,pasang amin cocok ideal caprescawapres indonesia good luck,17,positif
208,pilih pilih pasang amin pilih baik pasti,3,positif
209,komentar jelas pasang amin bagus gagas dampak positif kembang indonesia arah,1,positif
210,amin pasang cocok lengkap samasama komunikasi indonesia maju,2,positif
211,anak muda all out anies anies the real next presiden cermin ripintar wibawa hati rakyat,1,positif
212,aceh all out dukung amin top deh,9,positif
213,the next presiden ri is anies baswedan cermin indonesiaa keluarga pilih beliau,3,positif
214,track record jakarta all pilih amin pasang ideal hati rakyat indonesia the next presiden ri is anies baswedan cermin indonesiaa pilih beliau,7,positif
215,lihatlihat pasang amin ideal capres cawapres ya pintar wibawa ramah rakyat,13,positif
216,bagus program kerja ilmu tahu pasang amin anak muda gen pilih pasang amin pimpin bangsa,5,positif
217,all amin indonesia maju,0,netral
218,papar pasang amin milik program kerja nyata manfaat rakyat,11,positif
219,keluarga dukung pilih amin,3,positif
220,anies the real next presidenpintar wibawa hati rakyat mantap papar jelas,0,netral
221,pasang ideal hati rakyat indonesia pilih amin,5,positif
222,track record jakarta all pilih amin pasang ideal hati rakyat indonesia the next presiden ri is anies baswedan,6,positif
223,anies menang moga kpu netral adil masuk angin setel oligarki kelompok dinasti,-10,negatif
224,fisik anies proporsional pimpin jabat gubernur kota capai raih,-3,negatif
225,jelas anies cerdas pas pokok enak dngr deh tau moga allah idzabah doa moga anies menang ya presiden amin,11,positif
226,anies senyum adem banget tanggung pimpin jakarta acung jempol berani lawan konglo bela rakyat,1,positif
227,keren banget anies cak imin pilih pasang amin,3,positif
228,amin pasang pas dua cocok presiden amp wakil presiden lengkap,11,positif
229,visi misi amin suka anakanak muda generasi muda pilih amin,-5,negatif
230,keluarga dukung pasang amin presiden,12,positif
231,keluarga doa baik pasang amin sukses pilpres,10,positif
232,puas program kerja amin moga anies presiden anggur kurang,2,positif
233,anak muda tau pilih anak muda pilih amin,-18,negatif
234,saran nih debat biar fokus bobot paslon paslon hasil review visi misi calon biar berbobottttttttt,1,positif
235,janji pilkada penuh kuasa soksokan penuh omong jago kau kerja aniiiiieeesssss kejaan mu jeblok jakarta br pohon asli tebang ganti pohon plastik situ waras br sungai kotor bersihin tutup bungkus hitam br atas banjir lobang berfungis rusak jalan br patung bambu pajang minggu bongkar rapuh jelek pandangbrbrpolusi salah angin situ waras brbrmari pilih ganjarmahfud tinggal mantan gakbener dki jakarta,-50,negatif
236,pasang amin sosok pimpin indonesia ada nya hati rakyat indonesia,5,positif
237,pasang amin pasang baik cocok the next presiden wakil presiden indonesia gan mantab,15,positif
238,pribadi pilih amin pimpin milik kerja program kerja,3,positif
239,doa dukung pasang amin sukses milu,11,positif
240,orang jakarta senantiasa pilih pasang amin pasang baik indonesia maju rakyat,8,positif
241,segenap keluarga senantiasa pilih pasang amin pasang baik indonesia maju,11,positif
242,amin pasang cocok lengkap samasama komunikasi indonesia maju,2,positif
243,sosok pimpin indonesia anies baswedan calon presiden indonesia gudang ilmu tahu terampil,8,positif
244,sosok anies baswedan sosok pimpin bawa indonesia krn gurbernur dki jakarta jakarta,-2,negatif
245,urus debat kpusayaha harap debat capres cawapres suporternyaagar kualitas adu gagas nya kualitas jelastidak potong riuh suporter,12,positif
246,pintar bicara pintar kerja nya,2,positif
247,dikalteng bpk ganjar ujung timur ujung barat nya,-4,negatif
248,debat kpu nilai menetukan pilih brmasih bingung pilih debat kali tetap brditunggu debat brbismillah moga indonesia medapatkan pimpin,14,positif
249,debat anies pintar wawas luas keren bgt beliau ramah wibawa,8,positif
250,masyarakat pandai tangkap kait simpati klarifikasi kait bbm gratis suara kampanye cerdik situasi kondisi luas pandang inti hina jatuh menang maju tindak omong kosong wujud ketimbang rendah orang biar rakyat dengar pikir giring opini benci orang benci orang jadi teladan sifat nabi muhammad saw sahabat nabi khalifa pimpin pecah belah bangsa fitnah negara jatuh fitnah masyarakat ikut fitnah hasil ujung sesal kisah saddam husein presiden iraq moga masyarakat mem kait kata logis orang cerdas mana tim pasang cermin sosok pimpin adem jatuh agam mega cawapres sifat,-23,negatif
251,ilmu ilmu balas budi datuk ps,2,positif
252,indonesia pimpin kakek cucu,3,positif
253,kpu curang baik mu,-3,negatif
254,jakarta moga amin bawa ubah positif jakarta maju kualitas hidup warga atas tantang kota adabrbrbandung dukung baik amin pimpin bandung inovasi bangun berkelanjutanbrbrsurabaya moga amin bawa surabaya tingkat jaga maju kota solusi dampak positif warganyabrbrmedan dukung penuh amin emban tanggung pimpin medan hadir ubah signifikan tingkat kualitas hidup penduduknyabrbrsetiap daerah milik potensi tantang unik moga amin pimpin paham maju wilayah bijak tanggung,9,positif
255,keluarga pilih amin,-1,negatif
256,anies milik karisma kuat mampu komunikasi masyarakat efektif jabat gubernur jakarta dedikasi juang program bangun kota tingkat akses layan publik warga tekun semangat maju jakarta patut apresiasi,4,positif
257,moga anies cak imin sehat lancar urus hasil baik pilpres,11,positif
258,tunjuk integritas kpu pulih percaya rakyat pada,-1,negatif
259,kpu beli,-1,negatif
260,percaya bangga banget anis cerita jabat gubernur dki calon anis gubernur dki ya,5,positif
261,besar konoha lupa,0,netral
262,tong kosong nyaring bunyi anis bawa,-5,negatif
263,lampung dukung paslon amin pilpres,4,positif
264,anies cak imin cermin pimpin,3,positif
265,amin,0,netral
266,mimpin indonesia ambek emosional mimpin negara komunikasi perca pragib mimpin,-2,negatif
267,percaya praban prabowo tua gibran muda alam integritas negara pimpin merekasebaiknya paslon no mundur,-3,negatif
268,debat tau cerdas capres masinguda nomor the best,-1,negatif
269,ya nomor urut kali gagal nyalon,0,netral
270,sangka anies cerdas materi materi erti menang sih,-1,negatif
271,pragrib x nyalon kalah lihat debat kemarin amin,2,positif
272,pilih prabowo br pilih prabowobr pilih prabowo,-6,negatif
273,tegal junjung martabat bangsa maju negeri inibrdan satu pilih orang no negeri,-1,negatif
274,pasang dermawan cocok pimpin ya orang no ber maju negeri,9,positif
275,ragu pilih pimpin negeri doa amin,-5,negatif
276,anis gubernur ubah jakarta nya ubah negeri maju,0,netral
277,bismillahirrahmanirrahim biar allah tindak all prabowo,3,positif
278,fan gemoy brisik banget sosmed kalah salah kpu wkwkwkwkwkw brganjar is the best,-7,negatif
279,salah fokus otto hasibuan brbrpak prabowo ajar konfirmasi lawan brstrategi anis getol tahan dapat beliau wlpn beda lainbrpak ganjar telaah lawan jatuh brbrtim netral ya,-8,negatif
280,sepenuh dukung pasang amin seyakinyakinnya pilih pasang amin,10,positif
281,glerrr anis,0,netral
282,semangat,3,positif
283,pasang amin pasang ideal pasang cerdas the next presiden,16,positif
284,moga milu curang mari tunggu debat,1,positif
285,lihat debat kali pilih pragib menang kali kalah nyalon kalah telak nih,-8,negatif
286,amin pintar papar jelas komprehensif mudah paham mampu rangkai argumen tajam sungguh kesan debat perdana capres cawapres,-4,negatif
287,laku pasang amin penuh semangat ulet saksi hebat all amin sungguh visi maju negeri moga sama bawa baik indonesia depan,17,positif
288,tarik antusiasme anak muda suara pilih debat perdana amin hasil tarik perhati generasi muda visi progresif solusi relevan inklusif sambung,3,positif
289,kesan fokus pasang amin debat program kerja tawar benarbenar janji struktur kagum detail visi bawa panggung debat moga rencanarencana usul hasil ubah positif negeri,23,positif
290,amin pasang sentuh hati rakyat visi kuat dekat sentuh hadir optimisme agam adil inti ubah harap orang moga inspirasi ubah,3,positif
291,ragu pilih prab kali nyalon kalah,-9,negatif
292,amin calon presiden wakil presiden tawar visi inklusif progresif rencana debat perdana bukti komitmen ubah positif butuh negara ahli gagas bawa janji cerah adil lapis masyarakat a href,-1,negatif
293,anies harap perubahansaya pasang pragibapalagi sekian kali calon gagal,0,netral
294,jelas visi berani hadap tantang mampu komunikasi amin sifatsifat pimpin dinamika debat amin bukti pimpin bijaksana dasar cerdas mampu depan penting halhal perlu,-9,negatif
295,moga pasang amin kuat bijaksana sabar debat perdana capres cawapres moga tukar gagas visi arah bangsa moga allah swt mudah lancar pasang amin doa baik pasang amin moga pasang amin sehat apa sembah diskusi mutu baik amin ya rabbal alamin,39,positif
296,assalamualaikum wr wb jakarta dukung penuh pasang amin debat perdana capres cawapres moga visi gagas bawa ubah positif indonesia ayo amin terus juang,23,positif
297,amin pasang ideal capres cawapres milik visi kuat integritas mampu pimpin harap indonesia,7,positif
298,kagum dedikasi pasang amin curah pikir gagas maju bangsa keluarga dukung penuh pasang amin presiden wakil presiden ri semangat jaga satu sama dukung visi,33,positif
299,pasang amin sungguh lengkap visi kuat alam komprehensif mampu manajerial calon presiden padu dedikasi peduli calon wakil presiden isuisu sosial bentuk fondasi solid bawa ubah negara moga sama bawa maju lanjut indonesia,19,positif
300,argumen anies baswedan sikap tenang debat calon presiden paham dalam isuisu hadap mampu komunikasi efektif selaras aspirasi masyarakat indonesia sorot komitmen atas masalahmasalah nasional,11,positif
301,pragib maju forma hasil,3,positif
302,pilih amin kombinasi visi pimpin kuat komitmen ubah positif pilih mikat semangat indonesia,6,positif
303,pintar amin jelas sungguh mampu detail yakin mampu pimpin moga solusi cerdas maju indonesia,6,positif
304,anies pimpin tangguh gubernur dki jakarta tambah fisik kuat pergi sudut kota kondisi masyarakat jakarta dekat berani masalah kota upaya tingkat infrastruktur layan publik inspirasi kerja perhati butuh masyarakat langkah positif sejahtera terima kasih dedikasi maju jakarta,-3,negatif
305,quotall aminquot gambar komitmen penuh visi utuh wujud ubah positif semangat harap bawa jaya indonesia,12,positif
306,generasi muda pilih amin sadar ubah pimpin progresif harap suara bawa warna energi positif indonesia,0,netral
307,anies bijak sampai visi misi,-1,negatif
308,anis dar pandai bicara publik temu gagas butuh rakyat indonesia,-3,negatif
309,calon president ribrooohhbrbukan calon president pemilubuussyyeett,0,netral
310,proker cermin cerah aniessemoga ri the next presiden,4,positif
311,cermin cerah aniessemoga ri the next presiden,4,positif
312,program kerja amin kagum visi solusi cerdas fokus ubah positif apresiasi moga implementasi bawa maju signifikan indonesia,9,positif
313,anies cak imin betulbetul pasang caprescawapres lengkap,3,positif
314,pasang amin benarbenar raih istimewa hati rakyat percaya dukung tanda harap,10,positif
315,pasang amin calon presiden janji harap letak pimpin bawa indonesia arah,2,positif
316,amin sungguh cermin pimpin penuh inspirasi visi pimpin komitmen harap maju indonesia,5,positif
317,cermin cerah aniessemoga ri,3,positif
318,moga pasang amin kuat bijaksana sehat moga langkah bawa berkah maju indonesia doa baik hasil,16,positif
319,jawa timur full amin bismillah amin pimpin,4,positif
320,pasang ideal hati rakyat indonesia the next presiden ri is anies baswedan cermin indonesiaa pilih beliau,9,positif
321,keluarga dukung penuh pasang amin bersamasama harap indonesia,9,positif
322,medan all out dkung amin topp,0,netral
323,pasang amin harmoni lengkap tokoh bawa kuat bijaksana masingmasing cipta sinergi sempurna pimpin indonesia arah,-6,negatif
324,anies baswedan puji pimpin harap inspirasi bangun inklusif progresif moga kontribusi positif maju jakarta indonesia,5,positif
325,amin pasang serasi lengkap keluarga dukung,8,positif
326,debat pragib kali kalah kali debat jualitasnya beliau,2,positif
327,anies milik tampil kharismatik profesional cermin pimpin percaya gubernur jakarta komitmen dedikasi jalan tanggung sejahtera warga,2,positif
328,amin pasang serasi lengkap joss,3,positif
329,gagal kalibrmasa coba tiga kali,-3,negatif
330,anies murah senyum berwibawaketika gubernur jakarta laksana tugas nya,1,positif
331,tunggu debat pilih pragib kali kalah nyalon,-4,negatif
332,rasul koky garongsemua capres dungudebat bermutungabisin dana energidungu,4,positif
333,kali kalah udah capek,-4,negatif
334,bismillahirrahmanirrahim anies dukung,4,positif
335,amin pasang ideal capres cawapres,7,positif
336,gas amin,-4,negatif
337,anak muda pilih amin,-7,negatif
338,believe orang not gen fomo ikut gimmick tiktok me as one of the gen representative would like use my voting right pilih paslon amin for indonesias brighter future anies baswedan we trust,-5,negatif
339,pilih amin,-2,negatif
340,amin cerdas papar jelas,-5,negatif
341,dukung amin all amin,4,positif
342,anak muda pilih amin,-7,negatif
343,program kerja amin bagus,0,netral
344,amin dalam hati rakyat,3,positif
345,presiden amin,3,positif
346,amin cermin pimpin masadepan kelak,3,positif
347,amin maju sukses,3,positif
348,solo semarak dukung amin,9,positif
349,prabowo kali pilih x nyalon gagal,-6,negatif
350,keluarga pilih amin,-1,negatif
351,amin pasang lengkap capres cawapres,3,positif
352,mantap lanjut,2,positif
353,keren banget anies dukung no ragu,2,positif
354,anies keren banget gagah,5,positif
355,bingung pilih prabowo anies debat kemarin anies menang debat penasaran debat cawapresnya gibran cak imin mantap pilih,6,positif
356,pilih pragib kali gagal nyalon,-6,negatif
357,pilih amin lihat debat cool calm and confident,6,positif
358,ragu milik pragib kalah kali pilih pimpin jelasjelas,-8,negatif
359,pintar amin papar jelas tarik swing voters mantap,2,positif
360,kayak prabowo cynical banget anies ya dendam apanihklo ganjar ads respek,-1,negatif
361,all amin moga sukses pilih pimpin indonesia,2,positif
362,anak muda pilih amin muda cerdas etika,-9,negatif
363,program kerja amin detail lengkap kreatif mantap banget,13,positif
