komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment
pak anies sangat pas dan ideal sekali jadi pemimpin indonesia baik dari segi fisik beliau yang sangat fix dan kecerdasan beliau,"['anies', 'pas', 'ideal', 'pimpin', 'indonesia', 'segi', 'fisik', 'beliau', 'fix', 'cerdas', 'beliau']",2,positif,1,Positif
pak anies baswedan adalah pemimpin yang amanah rendah hati selalu mementingkan rakyat,"['anies', 'baswedan', 'pimpin', 'amanah', 'rendah', 'hati', 'penting', 'rakyat']",-1,negatif,-1,Positif
bismillah mudahmudahan an pasangan amin menang dan jadi pemimpin di 2024 nanti amin,"['bismillah', 'mudahmudahan', 'an', 'pasang', 'amin', 'menang', 'pimpin', '2024', 'amin']",7,positif,1,Positif
jawa barat hadir siap mendukung mu pak amin,"['jawa', 'barat', 'hadir', 'dukung', 'mu', 'amin']",3,positif,1,Positif
saya dan keluarga besar kami akan selalu mendukung pasangan amin karna kami butuh sosok pemimpin seperti pasangan amin,"['keluarga', 'dukung', 'pasang', 'amin', 'karna', 'butuh', 'sosok', 'pimpin', 'pasang', 'amin']",8,positif,1,Positif
bismillah saya dan keluarga besar saya siap dukung pasangan aminsemoga lancar,"['bismillah', 'keluarga', 'dukung', 'pasang', 'aminsemoga', 'lancar']",15,positif,1,Positif
program kerja amin sangat rasional mengedepankan kepentingan rakyat sangat bagus sekali untuk kepentingan bangsa,"['program', 'kerja', 'amin', 'rasional', 'depan', 'penting', 'rakyat', 'bagus', 'penting', 'bangsa']",-2,negatif,-1,Positif
sangat sempurna pasangan amin pasangan capres yang saling melengkapidengan kecerdasan nya masingmasing,"['sempurna', 'pasang', 'amin', 'pasang', 'capres', 'melengkapidengan', 'cerdas', 'nya', 'masingmasing']",8,positif,1,Positif
anak muda harus pilih amin terlihat dari visi misinya yang selalu mementingkan generasi muda,"['anak', 'muda', 'pilih', 'amin', 'visi', 'misi', 'penting', 'generasi', 'muda']",-11,negatif,-1,Negatif
ini adalah keputusan yang bijak dan penuh kesadaran dari keluarga besar kami siap untuk memilik dan mendukung pasangan pak anies dan pak amin sebagai calon presiden menujukkan kepercayaan yang tinggi terhadap integritas komitmen dan viis misi mereka,"['putus', 'bijak', 'penuh', 'sadar', 'keluarga', 'milik', 'dukung', 'pasang', 'anies', 'amin', 'calon', 'presiden', 'menujukkan', 'percaya', 'integritas', 'komitmen', 'viis', 'misi']",13,positif,1,Positif
pasangan pak anies dan pak amin sebagai calon presiden dan calon wakil presiden adalah kombinasi yang sangat melengkapi satu sama lain terlihat sinergi yang kuat antara kebijaksanaan dan keenergianan visi progresif dan kepedulian terhadap kebutuhan masyarakat,"['pasang', 'anies', 'amin', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'kombinasi', 'lengkap', 'sinergi', 'kuat', 'bijaksana', 'keenergianan', 'visi', 'progresif', 'peduli', 'butuh', 'masyarakat']",5,positif,1,Positif
anies baswedan memiliki penampilan yang memukau dan penuh kekar kecerdasannya yang tercermin dalam wajahnya menambah pesona kepemimpinannya sebagai gubernur jakarta,"['anies', 'baswedan', 'milik', 'tampil', 'pukau', 'penuh', 'kekar', 'cerdas', 'cermin', 'wajah', 'tambah', 'pesona', 'pimpin', 'gubernur', 'jakarta']",9,positif,1,Positif
sering lihat jejak rekam nya pak anies baswedan ketika jadi gubernurmasyaa allah luar biasa banget banyak perubahan bagaimana nanti kalo jadi presiden ya pasti lebih baik,"['lihat', 'jejak', 'rekam', 'nya', 'anies', 'baswedan', 'gubernurmasyaa', 'allah', 'banget', 'ubah', 'kalo', 'presiden', 'ya']",15,positif,1,Positif
bismillah saya dari jawa barat mendukung pasangan amin,"['bismillah', 'jawa', 'barat', 'dukung', 'pasang', 'amin']",12,positif,1,Positif
saya dan keluarga besar kami siap mendukung pasangan amin sampai jadi presiden semoga allah mempermudahkan amin,"['keluarga', 'dukung', 'pasang', 'amin', 'presiden', 'moga', 'allah', 'mudah', 'amin']",21,positif,1,Positif
saya dan keluarga besar kami siap mendukung pasangan amin sampai jadi presiden,"['keluarga', 'dukung', 'pasang', 'amin', 'presiden']",12,positif,1,Positif
amin adalah pasangan capres dan cawapres yang saling melengkapi sepenuh nya saya mendukung sampai jadi presiden 2024 amin,"['amin', 'pasang', 'capres', 'cawapres', 'lengkap', 'sepenuh', 'nya', 'dukung', 'presiden', '2024', 'amin']",10,positif,1,Positif
kami segenap keluarga besar siap sedia dukung amin demi tercipta nya kesejahteraan yang merata,"['segenap', 'keluarga', 'sedia', 'dukung', 'amin', 'cipta', 'nya', 'sejahtera', 'rata']",6,positif,1,Positif
amin terbaik pasangan amin yang sangat cerdas yang selalu dihati masyarakat nya,"['amin', 'baik', 'pasang', 'amin', 'cerdas', 'hati', 'masyarakat', 'nya']",6,positif,1,Positif
jejak rekam nya pak anies ketika jadi gubernur di jakarta masya allah banyak perubahan nya dan satu lagi pak anis perduli terhadap masyarakat nya,"['jejak', 'rekam', 'nya', 'anies', 'gubernur', 'jakarta', 'masya', 'allah', 'ubah', 'nya', 'anis', 'duli', 'masyarakat', 'nya']",5,positif,1,Positif
yakin memilih amin langkah yang positif untuk membawa perubahan dan kemajuan semoga pilihan ini memberikan dampak positif bagi kita semua,"['pilih', 'amin', 'langkah', 'positif', 'bawa', 'ubah', 'maju', 'moga', 'pilih', 'dampak', 'positif']",4,positif,1,Positif
untuk saat ini saya belum menentukan pilihanmengapa mereka saling serang untuk meningkatkan value pribadi mereka padahal yang saya butuhkan sebagai calon pemilih adalah bagaimana pendekatan mereka pada masyarakat bagaimana visi dan misi mereka mempunyai manfaat yang langsung dirasakan masyarakat dan kebijakan mereka nantinya membuat indonesia maju dan memakmurkan warga negara indonesia bukan oknum pejabat pemerintah apalagi asing,"['tentu', 'pilihanmengapa', 'serang', 'tingkat', 'value', 'pribadi', 'butuh', 'calon', 'pilih', 'dekat', 'masyarakat', 'visi', 'misi', 'manfaat', 'langsung', 'rasa', 'masyarakat', 'bijak', 'indonesia', 'maju', 'makmur', 'warga', 'negara', 'indonesia', 'oknum', 'jabat', 'perintah', 'asing']",-8,negatif,-1,Negatif
salut dengan anies bisa menjadj pemimpin jakarta yang jujur dan mensejhtrkan rkyat,"['salut', 'anies', 'menjadj', 'pimpin', 'jakarta', 'jujur', 'mensejhtrkan', 'rkyat']",3,positif,1,Positif
anies terlihat sangat siap menjadi presiden apalagi saat memimpin jakarta ssngat baik sekali,"['anies', 'presiden', 'pimpin', 'jakarta', 'ssngat']",3,positif,1,Positif
anies baswedan dan cak imin telah menunjukkan kinerja dan prestasi yang baik dalam jabatan atau tanggung jawab sebelumnya,"['anies', 'baswedan', 'cak', 'imin', 'kerja', 'prestasi', 'jabat', 'tanggung']",-3,negatif,-1,Positif
pada umumnya anies baswedan dan cak imin dikenal sebagai individu yang memiliki kecerdasan dan keahlian dalam memaparkan penjelasan terkait berbagai isu keduanya memiliki latar belakang dan pengalaman yang berbeda namun mampu mengungkapkan ide dan gagasan mereka dengan jelas meskipun mungkin terdapat perbedaan pandangan namun kemampuan mereka dalam menyampaikan argumentasi dan penjelasan yang konkret patut diapresiasi kepintaran mereka dalam berbicara menjadi salah satu faktor yang membuat mereka mampu menjadi pemimpin dan tokoh publik yang diperhitungkan dalam dunia politik dan masyarakat,"['anies', 'baswedan', 'cak', 'imin', 'kenal', 'individu', 'milik', 'cerdas', 'ahli', 'papar', 'jelas', 'kait', 'isu', 'milik', 'latar', 'alam', 'beda', 'ide', 'gagas', 'beda', 'pandang', 'mampu', 'argumentasi', 'jelas', 'konkret', 'patut', 'apresiasi', 'pintar', 'bicara', 'salah', 'faktor', 'pimpin', 'tokoh', 'publik', 'hitung', 'dunia', 'politik', 'masyarakat']",-17,negatif,-1,Positif
siapapun calon presiden dan wakil presidennya kami tetap all ini amin,"['calon', 'presiden', 'wakil', 'presiden', 'all', 'amin']",6,positif,1,Positif
anak muda yang memilih anies mungkin melihat kinerja dan program kerjanya sebagai gubernur dki jakarta yang memberikan dampak positif mereka bisa percaya bahwa visi dan misinya sejalan dengan kebutuhan dan harapan generasi muda,"['anak', 'muda', 'pilih', 'anies', 'kerja', 'program', 'kerja', 'gubernur', 'dki', 'jakarta', 'dampak', 'positif', 'percaya', 'visi', 'misi', 'jalan', 'butuh', 'harap', 'generasi', 'muda']",-8,negatif,-1,Positif
program kerja anies yang fokus pada penanganan banjir dan pembenahan lingkungan kota adalah langkah positif ini mencerminkan kesadaran akan isuisu lingkungan yang semakin mendesak untuk diatasi demi keberlanjutan perkotaan,"['program', 'kerja', 'anies', 'fokus', 'tangan', 'banjir', 'benah', 'lingkung', 'kota', 'langkah', 'positif', 'cermin', 'sadar', 'isuisu', 'lingkung', 'desak', 'atas', 'lanjut', 'kota']",4,positif,1,Positif
orang nya kalem penuh tata krama terhadap rakyat kecil sangat menghormati itu lah kenapa aku pilih pak anies,"['orang', 'nya', 'kalem', 'penuh', 'tata', 'krama', 'rakyat', 'hormat', 'pilih', 'anies']",1,positif,1,Positif
pasangan no 1 amin dan pasangan nya adalah kandidat yang berpotensi untuk jadi pemenang di pilpres februari mendatang mereka sangat kompak dan saling melengkapi satu sama lain membuat semakin solid dalam pemilu 2024,"['pasang', 'no', '1', 'amin', 'pasang', 'nya', 'kandidat', 'potensi', 'menang', 'pilpres', 'februari', 'kompak', 'lengkap', 'solid', 'milu', '2024']",9,positif,1,Positif
pasangan amin memiliki tempat yang istimewa di hati rakyat ditandai dengan dukungan yang kuat dari berbagai lapisan masyarakat semoga kebersamaan ini memberikan hasil yang positif dan kesejahteraan bagi semua,"['pasang', 'amin', 'milik', 'istimewa', 'hati', 'rakyat', 'tanda', 'dukung', 'kuat', 'lapis', 'masyarakat', 'moga', 'sama', 'hasil', 'positif', 'sejahtera']",17,positif,1,Positif
pasangan anies dan cak imin mendapat dukungan setia dari banyak kalangan masyarakat melihat keduanya sebagai pemimpin yang peduli dan berkomitmen untuk memajukan kesejahteraan masyarakat kehadiran mereka dihati rakyat tercermin dalam dukungan yang kuat dari berbagai lapisan masyarakat,"['pasang', 'anies', 'cak', 'imin', 'dukung', 'setia', 'kalang', 'masyarakat', 'pimpin', 'peduli', 'komitmen', 'maju', 'sejahtera', 'masyarakat', 'hadir', 'hati', 'rakyat', 'cermin', 'dukung', 'kuat', 'lapis', 'masyarakat']",12,positif,1,Positif
kami sepakat kalau pak anies baswedan dan cak imin the next presiden dan wakil presiden,"['sepakat', 'anies', 'baswedan', 'cak', 'imin', 'the', 'next', 'presiden', 'wakil', 'presiden']",8,positif,1,Positif
amin sudah sepatutnya dan wajar sekali menjadi presiden dan wakil presiden 2024 karena cerdas jelas dan lebih siap program kerja visi dan misinya,"['amin', 'patut', 'wajar', 'presiden', 'wakil', 'presiden', '2024', 'cerdas', 'program', 'kerja', 'visi', 'misi']",5,positif,1,Positif
pandangan mengenai pak anies dan cak imin sebagai cerminan pemimpin masa depan bervariasi ada yang mengapresiasi dedikasi mereka dalam membangun infrastruktur dan meningkatkan kesejahteraan sementara yang lain mempertanyakan cara menangani kritik dan efektivitas kebijakan penilaian terhadap visi keberanian dan kemampuan mendengarkan aspirasi rakyat dapat membentuk pandangan masyarakat terhadap peran mereka dalam kemajuan bangsa,"['pandang', 'anies', 'cak', 'imin', 'cermin', 'pimpin', 'variasi', 'apresiasi', 'dedikasi', 'bangun', 'infrastruktur', 'tingkat', 'sejahtera', 'tangan', 'kritik', 'efektivitas', 'bijak', 'nilai', 'visi', 'berani', 'mampu', 'dengar', 'aspirasi', 'rakyat', 'bentuk', 'pandang', 'masyarakat', 'peran', 'maju', 'bangsa']",12,positif,1,Positif
tuhan yang maha pengasih br brkami mohon berkah untuk anies dan cak imin semoga engkau memberikan kebijaksanaan kebahagiaan dan ketenangan dalam hubungan mereka lindungilah ikatan cinta mereka berikan kekuatan dalam menghadapi setiap perjalanan hidup semoga tuhan memberkati langkah mereka bersama dalam kasih sayang dan kesuksesan amin,"['tuhan', 'maha', 'asih', 'br', 'brkami', 'mohon', 'berkah', 'anies', 'cak', 'imin', 'moga', 'engkau', 'bijaksana', 'bahagia', 'tenang', 'hubung', 'lindung', 'ikat', 'cinta', 'kuat', 'hadap', 'jalan', 'hidup', 'moga', 'tuhan', 'kati', 'langkah', 'kasih', 'sayang', 'sukses', 'amin']",23,positif,1,Positif
sebagai keluarga besar dan warga jakarta insya allah tetap mendukung amin karena pak anies sudah jelas rekam jejaknya pada saat menjabat gubernur dki jakarta,"['keluarga', 'warga', 'jakarta', 'insya', 'allah', 'dukung', 'amin', 'anies', 'rekam', 'jejak', 'jabat', 'gubernur', 'dki', 'jakarta']",6,positif,1,Positif
indonesia cuma butuhbrpemimpin negara yangbrarif bijaksanabrbrselesai,"['indonesia', 'butuhbrpemimpin', 'negara', 'yangbrarif', 'bijaksanabrbrselesai']",0,netral,0,Netral
amin itu pasangan yang ideal banget jadi capres cawapres mereka saling melengkapi dan punya visi yang bagus buat indonesia yakin deh bisa bawa perubahan positif,"['amin', 'pasang', 'ideal', 'banget', 'capres', 'cawapres', 'lengkap', 'visi', 'bagus', 'indonesia', 'deh', 'bawa', 'ubah', 'positif']",9,positif,1,Positif
yakin pilih amin karena mereka punya visi yang jelas dan solusi yang tepat sukses terus,"['pilih', 'amin', 'visi', 'solusi', 'sukses']",6,positif,1,Positif
pasangan amin sangat cerdas dalam mengemukakan gagasan mereka penjelasannya mudah dipahami oleh semua orang sungguh keren,"['pasang', 'amin', 'cerdas', 'muka', 'gagas', 'jelas', 'mudah', 'paham', 'orang', 'sungguh', 'keren']",8,positif,1,Positif
pilih yang pasti demi perubahan positif indonesia bersama pak anies siap all ini amin di pilpres 2024,"['pilih', 'ubah', 'positif', 'indonesia', 'anies', 'all', 'amin', 'pilpres', '2024']",2,positif,1,Positif
jika pelaksana pemilu tidak melaksanakan tugasnya dengan baik serta memihak pada paslon tertentu maka sesungguhnya mereka ini adalah para penghianat bangsa yang dosanya tak terampuni kecuali mereka bertobat dan memohon maaf kepada seluruh rakyat insonesia,"['laksana', 'milu', 'laksana', 'tugas', 'paslon', 'sungguh', 'penghianat', 'bangsa', 'dosa', 'ampun', 'kecuali', 'tobat', 'mohon', 'maaf', 'rakyat', 'insonesia']",-7,negatif,-1,Negatif
anak muda pilih amin karena melihat harapan untuk perubahan yang positif yakin amin bisa jadi pemimpin yang mengerti dan mewakili aspirasi kita sukses terus amin,"['anak', 'muda', 'pilih', 'amin', 'harap', 'ubah', 'positif', 'amin', 'pimpin', 'erti', 'wakil', 'aspirasi', 'sukses', 'amin']",0,netral,0,Positif
program kerja amin luar biasa dan layak diacungi jempol mereka punya rencana yang nyata dan bermanfaat untuk masyarakat ideide mereka sesuai dengan kebutuhan kita sukses terus amin,"['program', 'kerja', 'amin', 'layak', 'acung', 'jempol', 'rencana', 'nyata', 'manfaat', 'masyarakat', 'ideide', 'sesuai', 'butuh', 'sukses', 'amin']",10,positif,1,Positif
semoga pemilu kali ini berlangsung dengan damai dan hal itu akan terjadi jika pelaksana pemilu kpu panwaslu melaksanakan tugasnya dengan sebaikbaiknya secara profesional serta tidak memihak,"['moga', 'milu', 'kali', 'damai', 'laksana', 'milu', 'kpu', 'panwaslu', 'laksana', 'tugas', 'sebaikbaiknya', 'profesional']",0,netral,0,Positif
setelah menonton debat ini hanya pak anies saja yang mampu memaparkan penjelasan yang mudah di mengerti dan di cerna pak anies memang mantab,"['tonton', 'debat', 'anies', 'papar', 'jelas', 'mudah', 'erti', 'cerna', 'anies', 'mantab']",-8,negatif,-1,Negatif
tidak ada keraguan sedikitpun untuk memilih amin 100 yakin pilih pak anies sebagai presiden indonesia,"['ragu', 'sedikit', 'pilih', 'amin', '100', 'pilih', 'anies', 'presiden', 'indonesia']",-8,negatif,-1,Negatif
